MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs,rank
2G3410658-0003258,341.0658,-0.0326,1.16,2.99,2.06,2.56,0.7,36,65,0.73,,0.25,C,,1G341062-000433,G341.090-00.017,,,Simbad,252.7453,-44.4509,3
2G0420781+0035603,42.0782,0.356,0.12,0.83,0.66,0.75,0.07,172,32,0.61,,0.15,C,,1G042077+003567,G042.073+00.360,,,Simbad,286.739,8.2967,3
2G3492442+0010873,349.2443,0.1087,0.1,0.25,0.14,0.2,0.05,176,95,0.84,0.14,0.11,R,,,G349.246+00.108,,,Simbad,259.2112,-37.87,3
2G3498624+0006910,349.8624,0.0691,0.84,2.16,1.25,1.77,0.33,107,53,0.82,,0.17,C,,,G349.860+00.062,,,Simbad,259.7023,-37.388,3
2G0136554-0058668,13.6554,-0.5867,0.08,0.34,0.27,0.31,0.05,54,100,0.61,0.12,0.21,R,,1G013655-005866,G013.655-00.587,,,Simbad,274.3389,-17.3653,3
2G0389520-0073009,38.952,-0.7301,0.37,3.68,3.56,3.62,0.33,38,65,0.26,,0.34,C,,1G038962-007345,G038.945-00.732,,N76,Simbad,286.2641,5.021,3
2G0271442+0061903,27.1442,0.619,0.13,0.54,0.42,0.48,0.1,49,76,0.64,0.23,0.28,R,,1G027145+006201,G027.145+00.620,,,Simbad,279.6609,-4.8655,3
2G0193872-0003351,19.3873,-0.0335,0.11,0.39,0.28,0.34,0.05,177,72,0.69,,0.14,C,,1G019388-000313,G019.389-00.038,,,Simbad,276.6211,-12.0464,3
2G3239362-0001315,323.9363,-0.0132,0.44,3.15,1.63,2.5,0.25,91,85,0.86,0.07,0.35,R,,1G323937-000185,G323.936-00.038,,,Simbad,232.9714,-56.1971,3
2G0344863+0018076,34.4864,0.1808,0.1,0.67,0.4,0.55,0.05,71,116,0.8,,0.14,C,,,,,,Simbad,283.4075,1.4659,3
2G3005582+0023435,300.5582,0.2344,3.05,11.29,9.05,10.23,1.96,51,85,0.6,,0.29,C,,,G300.566+00.169,,,Simbad,187.706,-62.5423,3
2G0167868+0013572,16.7868,0.1357,0.56,1.55,1.12,1.35,0.38,135,34,0.69,,0.13,C,,,G016.798+00.126,,,Simbad,275.2163,-14.2645,3
2G3052009+0000985,305.201,0.0099,0.1,0.26,0.2,0.23,0.07,2,128,0.64,0.1,0.14,R,,1G305201+000102,G305.201+00.009,4.9,,Simbad,197.8242,-62.7743,3
2G3019100+0036152,301.9101,0.3615,0.54,0.61,0.49,0.56,0.22,176,117,0.6,0.09,0.09,C,,,G301.909+00.355,,,Simbad,190.6467,-62.4927,3
2G3318069-0015768,331.8069,-0.1577,0.59,1.52,1.01,1.29,0.3,37,18,0.75,,0.15,C,,1G331803-001579,G331.797-00.148,,,Simbad,243.4463,-51.3149,3
2G3470931-0005203,347.0931,-0.052,0.89,2.36,1.5,1.98,0.46,95,68,0.77,0.2,0.21,R,,1G347091-000511,G347.100-00.043,,,Simbad,257.7623,-39.708,3
2G3262346-0021503,326.2346,-0.215,0.1,0.99,0.93,0.96,0.08,17,76,0.35,,0.34,C,,1G326234-002135,,,,Simbad,236.4567,-54.9943,3
2G0060109-0037044,6.0109,-0.3705,0.29,1.43,1.06,1.26,0.24,6,65,0.67,,0.13,C,,,G006.005-00.368,,,Simbad,270.1742,-23.9471,3
